Wave   ;Sample
[nm]   ;[counts]
515,95;1152,0
516,03;1296,0
516,10;964,00
516,17;1031,0
516,25;1245,0
516,32;1155,5
516,39;1122,0
516,46;1134,0
516,54;1138,6
516,61;1153,7
516,68;1116,2
516,75;1122,2
516,83;1130,9
516,90;1142,3
516,97;1139,2
517,05;1090,6
517,12;1101,1
517,19;1103,4
517,26;1085,6
517,34;1062,4
517,41;1087,1
517,48;1078,5
517,55;1053,4
517,63;1079,6
517,70;1080,4
517,77;1073,8
517,84;1072,2
517,92;1081,8
517,99;1088,9
518,06;1092,1
518,14;1099,3
518,21;1121,7
518,28;1177,1
518,35;1164,0
518,43;1148,0
518,50;1156,1
518,57;1181,9
518,64;1195,6
518,72;1181,0
518,79;1204,8
518,86;1231,4
518,93;1241,2
519,01;1193,9
519,08;1176,6
519,15;1193,6
519,22;1190,7
519,30;1177,7
519,37;1156,3
519,44;1164,2
519,51;1164,8
519,59;1129,3
519,66;1126,0
519,73;1135,3
519,80;1125,5
519,88;1106,7
519,95;1106,0
520,02;1115,0
520,09;1115,3
520,17;1106,1
520,24;1089,7
520,31;1113,3
520,38;1099,7
520,46;1074,8
520,53;1055,3
520,60;1062,2
520,67;1076,1
520,75;1047,1
520,82;1075,4
520,89;1081,8
520,96;1087,6
521,04;1089,8
521,11;1087,7
521,18;1105,8
521,25;1098,4
521,33;1119,0
521,40;1122,7
521,47;1137,5
521,54;1148,8
521,62;1140,8
521,69;1130,8
521,76;1144,4
521,83;1137,4
521,90;1118,5
521,98;1127,7
522,05;1143,6
522,12;1147,7
522,19;1120,9
522,27;1117,5
522,34;1104,3
522,41;1101,3
522,48;1102,6
522,56;1094,7
522,63;1105,9
522,70;1104,8
522,77;1094,6
522,84;1071,0
522,92;1090,5
522,99;1105,0
523,06;1101,5
523,13;1102,8
523,21;1073,8
523,28;1082,3
523,35;1060,8
523,42;1095,5
523,50;1125,4
523,57;1135,7
523,64;1145,0
523,71;1121,3
523,78;1125,7
523,86;1102,2
523,93;1113,3
524,00;1130,4
524,07;1144,4
524,15;1132,2
524,22;1084,8
524,29;1054,2
524,36;1061,6
524,43;1054,1
524,51;1050,5
524,58;1087,0
524,65;1107,5
524,72;1110,0
524,79;1092,9
524,87;1096,3
524,94;1151,6
525,01;1163,1
525,08;1161,1
525,16;1179,2
525,23;1203,1
525,30;1199,1
525,37;1159,3
525,44;1182,5
525,52;1187,1
525,59;1187,3
525,66;1170,5
525,73;1128,9
525,80;1156,3
525,88;1150,4
525,95;1118,9
526,02;1119,9
526,09;1112,2
526,17;1107,3
526,24;1071,8
526,31;1079,6
526,38;1100,1
526,45;1091,8
526,53;1093,5
526,60;1082,2
526,67;1121,4
526,74;1116,9
526,81;1090,2
526,89;1096,7
526,96;1113,3
527,03;1117,1
527,10;1088,9
527,17;1080,7
527,25;1087,9
527,32;1088,6
527,39;1066,1
527,46;1064,1
527,53;1068,9
527,61;1081,8
527,68;1074,7
527,75;1069,7
527,82;1111,1
527,89;1104,4
527,97;1099,1
528,04;1126,0
528,11;1127,0
528,18;1116,1
528,25;1086,8
528,32;1108,1
528,40;1115,8
528,47;1116,3
528,54;1112,1
528,61;1074,4
528,68;1126,1
528,76;1123,1
528,83;1097,2
528,90;1094,7
528,97;1102,9
529,04;1103,0
529,12;1058,3
529,19;1074,7
529,26;1076,9
529,33;1075,1
529,40;1071,8
529,47;1066,7
529,55;1073,8
529,62;1071,4
529,69;1081,3
529,76;1105,9
529,83;1134,0
529,91;1134,4
529,98;1116,3
